"","CHILD_DEATH_YR","CNT_BY_UNDERLYING_COD","CNTY_YR_DEATH_TOTAL","CNTY_YR_DEATH_TOTAL_PER_10000_CNTY_RES","CNTY"
"1","2010","1",4,1.16,"ADAMS"
"2","2011","1",5,1.45,"ADAMS"
"3","2012","1",2,0.58,"ADAMS"
"4","2013","3",4,1.15,"ADAMS"
"5","2013","1",4,1.15,"ADAMS"
"6","2014","1",1,0.28,"ADAMS"
"7","2015","1",3,0.85,"ADAMS"
"8","2016","1",6,1.7,"ADAMS"
"9","2017","2",6,1.7,"ADAMS"
"10","2017","1",6,1.7,"ADAMS"
"11","2018","1",4,1.13,"ADAMS"
"12","2010","3",18,0.5,"ALLEN"
"13","2010","2",18,0.5,"ALLEN"
"14","2010","1",18,0.5,"ALLEN"
"15","2011","5",15,0.41,"ALLEN"
"16","2011","2",15,0.41,"ALLEN"
"17","2011","1",15,0.41,"ALLEN"
"18","2012","3",15,0.41,"ALLEN"
"19","2012","1",15,0.41,"ALLEN"
"20","2013","2",24,0.66,"ALLEN"
"21","2013","1",24,0.66,"ALLEN"
"22","2014","6",25,0.68,"ALLEN"
"23","2014","3",25,0.68,"ALLEN"
"24","2014","2",25,0.68,"ALLEN"
"25","2014","1",25,0.68,"ALLEN"
"26","2015","4",21,0.57,"ALLEN"
"27","2015","3",21,0.57,"ALLEN"
"28","2015","2",21,0.57,"ALLEN"
"29","2015","1",21,0.57,"ALLEN"
"30","2016","2",21,0.56,"ALLEN"
"31","2016","1",21,0.56,"ALLEN"
"32","2017","4",18,0.48,"ALLEN"
"33","2017","2",18,0.48,"ALLEN"
"34","2017","1",18,0.48,"ALLEN"
"35","2018","4",16,0.43,"ALLEN"
"36","2018","2",16,0.43,"ALLEN"
"37","2018","1",16,0.43,"ALLEN"
"38","2010","2",6,0.78,"BARTHOLOMEW"
"39","2010","1",6,0.78,"BARTHOLOMEW"
"40","2011","2",5,0.64,"BARTHOLOMEW"
"41","2011","1",5,0.64,"BARTHOLOMEW"
"42","2012","1",5,0.63,"BARTHOLOMEW"
"43","2013","1",5,0.62,"BARTHOLOMEW"
"44","2014","2",7,0.87,"BARTHOLOMEW"
"45","2014","1",7,0.87,"BARTHOLOMEW"
"46","2015","1",5,0.61,"BARTHOLOMEW"
"47","2016","1",5,0.61,"BARTHOLOMEW"
"48","2017","1",5,0.61,"BARTHOLOMEW"
"49","2018","1",1,0.12,"BARTHOLOMEW"
"50","2012","1",1,1.13,"BENTON"
"51","2016","1",1,1.15,"BENTON"
"52","2010","1",2,1.56,"BLACKFORD"
"53","2011","1",1,0.78,"BLACKFORD"
"54","2017","1",1,0.82,"BLACKFORD"
"55","2018","1",1,0.82,"BLACKFORD"
"56","2010","1",1,0.17,"BOONE"
"57","2011","1",2,0.34,"BOONE"
"58","2013","1",2,0.33,"BOONE"
"59","2014","1",1,0.16,"BOONE"
"60","2015","1",2,0.31,"BOONE"
"61","2016","1",3,0.46,"BOONE"
