"","DEATHS_BY_LEADING_CAUSE","CNTY","UNDERLYING_COD","Providers.Count","BIRTHS","MOTHERS_STRESS","MOTHERS_ER","MOTHERS_OBESE","INPATIENT_DELIVERY","HOSPITAL","CHILD_DEATH_CNTY_POP"
"1",5,"ADAMS","Sudden infant death syndrome",5,212,34,45,25,1,1,34880.3333333333
"2",30,"ALLEN","Sudden infant death syndrome",182,3227,627,955,402,1,1,365177.641221374
"3",7,"BARTHOLOMEW","Sudden infant death syndrome",13,566,123,153,57,1,1,79710.5609756098
"4",1,"BENTON","Accidental suffocation and strangulation in bed",NA,76,NA,NA,NA,0,0,8731
"5",1,"BLACKFORD","Car occupant injured in collision with railway train or railway vehicle, passenger injured in traffic accident",NA,89,32,32,NA,0,1,12498.2
"6",2,"BOONE","Accidental suffocation and strangulation in bed",8,250,48,59,NA,1,1,62303.9333333333
"7",1,"BROWN","Accidental suffocation and strangulation in bed",NA,68,NA,NA,NA,0,0,14966.4
"8",2,"CARROLL","Accidental suffocation and strangulation in bed",NA,108,23,26,NA,0,0,19984.8
"9",3,"CASS","Bacterial sepsis of newborn, unspecified",6,363,106,101,39,1,1,38266.2592592593
"10",11,"CLARK","Sudden infant death syndrome",16,862,157,206,79,1,1,113659
"11",4,"CLAY","Accidental suffocation and strangulation in bed",1,204,51,91,24,0,1,26580.3846153846
"12",2,"CLINTON","Assault (homicide) by unspecified means",4,306,47,50,24,0,1,32781.3636363636
"13",1,"CRAWFORD","Pulmonary edema",NA,77,NA,NA,NA,0,0,10659.5
"14",3,"DAVIESS","Accidental suffocation and strangulation in bed",4,248,51,55,21,1,1,32491.2173913043
"15",1,"DEARBORN","Congenital malformation of brain, unspecified",7,255,69,68,25,1,1,49887.75
"16",1,"DECATUR","Accidental suffocation and strangulation in bed",10,197,36,50,22,1,1,26284.3333333333
"17",6,"DEKALB","Sudden infant death syndrome",22,300,50,70,27,1,1,42502.2222222222
"18",21,"DELAWARE","Sudden infant death syndrome",33,826,239,218,170,1,1,116472.390243902
"19",3,"DUBOIS","Sudden infant death syndrome",6,255,49,51,24,1,1,42287.875
"20",25,"ELKHART","Sudden infant death syndrome",70,2017,393,564,305,1,1,201336.776699029
"21",6,"FAYETTE","Sudden infant death syndrome",2,206,53,60,38,0,1,23599.5384615385
"22",5,"FLOYD","",8,470,91,109,45,1,1,75705.3333333333
"23",1,"FOUNTAIN","Anencephaly",NA,97,24,33,NA,0,0,16704.1666666667
"24",4,"FULTON","Sudden infant death syndrome",8,119,27,23,NA,1,1,20397.4666666667
"25",2,"GIBSON","Sudden infant death syndrome",2,192,60,89,33,0,1,33665.5333333333
